环境维度,环境分类,风格因子,周数,风格年化收益,沪深300年化收益,年化超额收益,累计相对超额收益,信息比率,胜率,风格最大回撤,相对最大回撤
历史阶段,供给侧与核心资产阶段,质量,104,0.07160046239512918,0.2246299339857074,-0.12316314191088952,-0.2343045911722066,-0.8720928133127385,0.4519230769230769,-0.16707394987041824,-0.3057383767166031
历史阶段,供给侧与核心资产阶段,规模,104,0.07620788925719757,0.2246299339857074,-0.12279830858371697,-0.22770610615149833,-1.0741065479340548,0.49038461538461536,-0.1348348322376549,-0.26680199823573436
历史阶段,供给侧与核心资产阶段,动量,104,0.2888512545337716,0.2246299339857074,0.05125102247998614,0.10763292162312177,0.9910987563908517,0.5673076923076923,-0.06854019662377075,-0.03634587349158713
历史阶段,刺激政策修复,价值,56,0.9023476120057774,1.0321263803583092,-0.06688527062276936,-0.06860375195015955,-1.0831438474132355,0.5,-0.25262622154979286,-0.08990642098003954
历史阶段,刺激政策修复,成长,56,1.2287613312393169,1.0321263803583092,0.10248900097575873,0.10458325270898006,2.1466469320642347,0.5357142857142857,-0.2515380085139869,-0.029803043722530176
历史阶段,刺激政策修复,红利,56,1.134902377046441,1.0321263803583092,0.06940257645575368,0.05457036154270978,0.6226753913922725,0.5357142857142857,-0.2690044792862847,-0.0887194880721992
历史阶段,刺激政策修复,低波,56,0.835194656962756,1.0321263803583092,-0.11514902234640972,-0.10396257937102882,-1.7342144435459557,0.4642857142857143,-0.20844529649424515,-0.12007576867670344
历史阶段,刺激政策修复,质量,56,1.630018277457833,1.0321263803583092,0.2764827428018564,0.32015236169241756,1.900454157560676,0.625,-0.206974170863911,-0.10961153262974654
历史阶段,刺激政策修复,规模,56,1.7388484781373812,1.0321263803583092,0.31793414565521655,0.3790748983077348,2.1870326199400463,0.625,-0.20079421176885293,-0.11181884773405548
历史阶段,刺激政策修复,动量,56,0.841892009768791,1.0321263803583092,-0.10333778672818539,-0.10044055175030275,-1.5131458131311475,0.5,-0.22972656365053057,-0.14014062583543763
历史阶段,去杠杆急跌,价值,33,-0.5281652726856162,-0.6072618137205186,0.14517476961454515,0.12349320833833555,0.9235908785890997,0.45454545454545453,-0.3561639054813428,-0.08234903221870282
历史阶段,去杠杆急跌,成长,33,-0.5602604248603803,-0.6072618137205186,0.09778414061960272,0.07437230955593077,1.5467245581269147,0.6060606060606061,-0.3825589079293775,-0.03300422377381074
历史阶段,去杠杆急跌,红利,33,-0.5944229735171875,-0.6072618137205186,0.06948404764509122,0.02062385397947364,0.5033925912465983,0.6060606060606061,-0.4236243302814725,-0.08005130229648805
历史阶段,去杠杆急跌,低波,33,-0.48286664074418206,-0.6072618137205186,0.24107437021826134,0.19079272557207494,2.507390992816365,0.6363636363636364,-0.31681913741196077,-0.04835153025798966
历史阶段,去杠杆急跌,质量,33,-0.6409494887699623,-0.6072618137205186,0.04740393091561063,-0.05532316458611142,0.14447044253452673,0.5757575757575758,-0.4836263607122222,-0.2121057728445085
历史阶段,去杠杆急跌,规模,33,-0.6684782679659407,-0.6072618137205186,-0.07116925774803383,-0.10195533263337841,-0.24526138915803825,0.5454545454545454,-0.4956687128441256,-0.1689112761628523
历史阶段,去杠杆急跌,动量,33,-0.6706329976846537,-0.6072618137205186,-0.10400744519269241,-0.10566390060386188,-0.6252371247775893,0.48484848484848486,-0.4749117717879492,-0.1214076261154875
历史阶段,地产压力与红利占优,价值,144,-0.056192227990088495,-0.15394694935304676,0.10951977578339972,0.35362873084239355,1.1051557185217373,0.5833333333333334,-0.24463071574190032,-0.11682805133867835
历史阶段,地产压力与红利占优,成长,144,-0.2533362363138314,-0.15394694935304676,-0.11773573663072563,-0.2925318938834989,-1.5630429112931583,0.4097222222222222,-0.5432349186509262,-0.305847977092348
历史阶段,地产压力与红利占优,红利,144,-0.02583076432571696,-0.15394694935304676,0.14292625447274834,0.47767481471111073,1.1511313630980267,0.5763888888888888,-0.18115579566604778,-0.10743906894953548
历史阶段,地产压力与红利占优,低波,144,-0.04575379309989558,-0.15394694935304676,0.1173350002017962,0.3954937083028296,1.7654673999025896,0.6041666666666666,-0.20314115413556133,-0.08284294037731954
历史阶段,地产压力与红利占优,质量,144,-0.09650348368385797,-0.15394694935304676,0.07207912568536855,0.1995077839584538,0.5149006488121063,0.5208333333333334,-0.2507734202926224,-0.15525419268372953
历史阶段,地产压力与红利占优,规模,144,-0.16484836290434368,-0.15394694935304676,-0.0069748437886081845,-0.035276239338882465,-0.0700285266151378,0.5138888888888888,-0.3905711583535506,-0.16874668386455738
